,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
273,lavrentiya,78.00080168334856,-170.18847107382257,272.68,75,2,2.47
274,mrirt,33.358653389498215,-5.304303555654201,NaN,NaN,NaN,NaN
275,betare oya,6.050023054047472,13.592784827730128,295.39,79,100,0.79
276,koungou,-8.981793350070262,47.46564386361979,298.15,88,100,2.57
277,garbolovo,60.916237758241294,30.774913814617094,275.96,71,100,1.55
278,iroquois falls,49.08403864243871,-80.20031148429139,278.15,93,90,3.09
279,bairiki,0.9132950128415018,170.4889550439404,304.15,70,75,4.12
280,faanui,-5.08740135759264,-150.99515698541117,301.29,71,1,5.18
281,kota kinabalu,6.3388441549129055,115.37666247636804,301.6,70,20,4.12
282,jibuti,11.721910623751612,43.47303972882014,301.15,74,1,3.19
283,kupang,-13.321932322111053,124.64903413081049,300.21,68,17,1.92
284,nehoiu,45.451049128644684,26.26747330133469,274.48,87,100,1.52
285,buqayq,26.524319809496873,48.653043551182776,NaN,NaN,NaN,NaN
286,werda,-25.461955422606707,23.606127989796732,290.38,33,0,0.96
287,temerloh,3.330744864220975,102.59991167256135,298.43,89,59,0.93
288,ruatoria,-36.11696007460713,179.48724215474482,NaN,NaN,NaN,NaN
289,luebo,-5.699714073427174,20.81972725189479,294.16,99,100,0.54
290,bambous virieux,-28.986552385207062,68.33630327653572,298.41,89,75,3.09
291,kikwit,-5.680301594871324,18.820610844315894,294.76,97,100,0.61
292,high level,58.99927130342428,-118.60825401371403,280.15,39,1,4.63
293,skorodnoye,51.10558357905197,37.21659256349304,280.15,93,75,3
294,norman wells,60.40005524730395,-127.64699077753372,285.15,32,20,2.06
295,mirnyy,62.86310885897515,114.20420681596988,266.45,81,100,6.45
296,maghama,17.099809424006565,-12.06756761134659,NaN,NaN,NaN,NaN
297,padang,-2.958372317597508,94.38271423737967,297.15,94,20,1.03
298,tauranga,-37.73119915115701,175.98100139010285,290.94,81,100,2.24
299,barbar,18.9251926145631,34.136950677905446,NaN,NaN,NaN,NaN
300,gabu,11.688322683781891,-13.929208403756775,299.72,52,6,3.26
301,shizunai,41.813486653602354,143.01848407544594,282.19,84,18,4.44
302,gonbad-e qabus,37.786967174987865,54.504549765652,285.15,87,0,2.06
303,paamiut,60.308924058605925,-52.83471055245724,272.33,86,100,2.96
304,rio grande,-36.89720793098768,-46.96392168630439,292.59,88,0,6.29
305,margate,-36.32976679900318,36.927751026017035,278.94,86,6,0.89
306,bukachacha,54.11460530066179,116.34289167934202,277.68,18,100,3.54
307,pangnirtung,61.4303869487851,-61.21297491261605,264.4,96,100,0.75
308,la union,37.46374976619471,-0.49898151772399046,298.6,58,18,7.45
309,clyde river,72.47032584140675,-74.925971726736,256.15,85,90,6.17
310,tomakivka,47.853532065523154,34.803604431165866,281.04,81,0,3
311,amberieu-en-bugey,45.92877355931839,5.407458941621286,279.48,81,0,1.03
312,rawlins,42.45288351655128,-107.7035000121059,266.05,73,90,7.72
313,torbay,47.77169527006609,-52.73568815723931,276.46,93,75,7.2
314,college,72.38623941462339,-146.32793348976455,287.15,28,1,3.09
315,kasongo-lunda,-7.381977870465349,16.52965943825228,294.84,99,100,0.19
316,kedrovyy,58.602425245416526,79.59930548467224,264.15,67,20,6
317,marcona,-21.044852896783,-83.92540605092458,NaN,NaN,NaN,NaN
318,neiafu,-17.746328955777983,-175.67271874438967,302.15,61,20,3.6
319,areosa,41.64112681097811,-11.781168260019399,287.44,94,40,1.03
320,tromso,72.05760065235748,18.871059935885455,280.15,57,20,3.6
321,bathsheba,16.172829344458336,-55.281705876437385,299.15,61,20,8.23
322,jabinyanah,35.02604730626035,11.2757304374108,288.15,63,20,3.09
323,saint-georges,5.992639627486838,-47.11776095211084,300.15,74,20,7.72
324,vaitupu,-12.223594049952666,-178.2154559532039,NaN,NaN,NaN,NaN
325,hualmay,-15.142721434329815,-86.25306858145963,293.35,84,100,3.73
326,charagua,-19.3970789421832,-63.06905565724092,292.67,89,45,1.41
327,san andres,12.706534881853628,-79.32966934991893,301.15,78,75,4.63
328,dongsheng,41.25471470788608,108.46521366072147,289.2,26,97,1.78
329,soyo,-6.807468387755989,11.452882738956163,298.21,90,100,4.26
330,sitka,50.233836056019754,-136.96422379695488,285.15,62,75,1.54
331,ingolstadt,48.876391411377426,11.52446002848842,279.02,93,29,2.06
332,kloulklubed,4.445322809792046,136.4779225922989,301.15,83,75,3.6
333,chahal,15.920221959812366,-89.42594438174191,298.06,86,63,1.19
334,abu dhabi,23.678592341507326,53.984011391211226,296.28,78,0,1.54
335,flinders,-32.569940770352936,131.2999253577089,294.18,54,52,3.13
336,moron,46.878675818061,98.099415718346,294.44,70,0,2.24
337,jiazi,21.203309604830864,117.12449285813341,295.23,61,58,6.98
338,kuusamo,65.87856815239712,28.872160757802362,270.15,86,0,0.51
339,saravan,16.374884393231383,105.91029139563057,290.15,51,40,4.12
340,liverpool,41.454854589776346,-63.82874894790697,281.48,67,100,0.45
341,tsihombe,-37.47171054809304,41.91074493900359,NaN,NaN,NaN,NaN
342,xinxiang,35.574217611184764,113.76086052486772,288.04,80,100,0.58
343,ust-ilimsk,59.23434995954702,103.60277932875766,264.67,81,100,7.52
344,hervey bay,-24.546190515999797,157.05783707023863,298.57,57,0,3.09
345,klaksvik,67.4217812380426,-7.171328467059368,277.15,87,20,1.03
346,vredendal,-31.307746903751692,17.279332900327717,293.68,59,6,3.24
347,nokaneng,-19.29162950476058,21.439809655906316,288.58,31,0,2.98
348,nizhnevartovsk,60.970602811076276,76.45013092643234,260.15,85,0,3
349,port macquarie,-32.70204086817567,161.45332651069901,295.62,51,13,0.89
350,bandarbeyla,9.037931058470818,53.7807815900257,300.64,80,100,2.79
351,namtsy,63.24099925053167,128.79006771304967,265.15,57,0,5
352,tadine,-21.397497857632032,168.59674645053025,299.64,79,48,5.68
353,bertoua,5.001943747893307,13.996155549233663,294.05,95,88,0.77
354,wajir,1.3115769425301664,40.14102569276611,297.93,77,89,3.8
355,tukrah,33.338075416305344,20.048594814517116,287.4,65,91,5.25
356,wellington,-32.11768751073526,149.0886789475013,288.45,82,90,6.17
357,maloshuyka,64.71876037196247,37.03992606731097,NaN,NaN,NaN,NaN
358,shingu,24.076656110608738,139.62325703606933,291.15,36,0,4.12
359,belaya gora,66.98732740849195,147.14817422063652,269.08,85,100,2.5
360,buy,58.40929966714188,41.57487307178002,272.4,77,6,3.35
361,elverum,60.72545073907588,11.534287363621331,275.23,82,25,0.62
362,nong han,17.26706960186098,103.17951565172939,299.6,89,0,2.06
363,tazovskiy,68.70453352170983,76.49234079010188,262.07,94,100,5.78
