,Unnamed: 0,City,Latitude,Longitude,Temperature (°F),Humidity,Cloudiness,Wind Speed (mph),Country,Date Time
33,33,georgetown,-4.929610625187536,-13.222645548192391,82.4,89.0,40.0,1.14,MY,1619050604.0
34,34,kalianget,-5.767305125171647,116.08679747708119,79.88,71.0,80.0,5.32,ID,1619050608.0
35,35,rassvet,46.8109887154186,41.143524680927406,49.89,78.0,66.0,2.08,RU,1619050609.0
36,36,kodiak,41.18992184918207,-149.96160424815068,42.8,87.0,90.0,19.57,US,1619050610.0
37,37,wuchang,44.94000805844411,127.2402753440444,64.69,25.0,100.0,8.95,CN,1619050611.0
38,38,nanzhang,31.679936623759627,111.63359684980526,58.32,89.0,88.0,3.76,CN,1619050612.0
39,39,muros,42.11856386925464,-17.255246651600007,55.99,93.0,98.0,5.66,ES,1619050614.0
41,41,rocha,-42.23480446105939,-48.76512765819683,64.63,74.0,5.0,14.25,UY,1619050616.0
43,43,hobart,-85.50252899962797,134.11520790459923,57.2,47.0,75.0,20.71,AU,1619050400.0
44,44,meulaboh,-3.058292432982043,89.26092827189699,76.75,88.0,97.0,3.11,ID,1619050619.0
45,45,bambous virieux,-35.88919086732407,81.60969740231639,78.8,83.0,40.0,3.44,MU,1619050620.0
46,46,sharkan,57.57289416999714,54.161933087473784,39.0,88.0,100.0,4.0,RU,1619050621.0
47,47,rikitea,-47.60275209158479,-118.1584514236395,77.36,74.0,37.0,11.83,PF,1619050623.0
48,48,beian,48.21963511233122,127.11836152399168,35.6,87.0,75.0,13.8,NO,1619050624.0
49,49,castro,-48.485247077596824,-86.54121353595232,54.79,98.0,70.0,5.39,BR,1619050625.0
50,50,shimoda,26.690267691796336,142.0959513746566,72.0,39.0,0.0,10.36,JP,1619050626.0
51,51,fort nelson,60.444807409254686,-122.1440243357204,32.0,43.0,75.0,8.05,CA,1619050627.0
52,52,nikolskoye,41.15894711822037,174.8252434218304,35.6,87.0,75.0,4.47,RU,1619050629.0
53,53,merrill,46.06557500684437,-90.55801284483783,37.4,44.0,90.0,4.61,US,1619050630.0
54,54,jamestown,-27.8301867063368,-0.6872968016644165,32.0,80.0,90.0,17.27,US,1619050610.0
55,55,new norfolk,-78.29402778248115,126.62696079677859,57.0,61.0,89.0,7.0,AU,1619050632.0
56,56,kruisfontein,-81.3619494974802,28.94534336226664,63.0,96.0,99.0,2.53,ZA,1619050633.0
57,57,bandarbeyla,7.968207995305362,57.046646659909065,81.23,80.0,31.0,4.27,SO,1619050634.0
58,58,vila franca do campo,30.231219961910302,-25.859342757202878,64.4,94.0,75.0,19.57,PT,1619050636.0
59,59,bubaque,3.6555515885069103,-22.57578252414862,78.26,69.0,100.0,15.97,GW,1619050637.0
60,60,atuona,0.05140645650175202,-146.74730130366115,80.74,71.0,6.0,20.09,PF,1619050638.0
61,61,port alfred,-67.29041775761678,44.951057137956035,69.1,85.0,83.0,9.53,ZA,1619050639.0
62,62,esperance,-45.752888957731884,126.31705237791613,59.0,82.0,90.0,3.44,AU,1619050640.0
63,63,bethel,56.292982116645724,-161.49321137869572,39.99,73.0,90.0,5.99,US,1619050642.0
64,64,resistencia,-27.711161990620226,-59.400714376105206,75.2,69.0,0.0,9.22,AR,1619050643.0
65,65,bairiki,0.21541186139691604,165.43462149232832,86.0,74.0,75.0,8.05,KI,1619050644.0
67,67,faanui,-8.029017068507471,-159.23622046501958,81.41,74.0,37.0,15.1,PF,1619050646.0
68,68,atambua,-8.628129010667834,124.26022992750893,76.69,75.0,57.0,1.21,ID,1619050647.0
69,69,lagoa,50.216544033001746,-32.5764074240347,63.72,87.0,87.0,25.55,PT,1619050649.0
70,70,svetlogorsk,67.30158668398138,93.15137923955861,41.97,93.0,95.0,6.4,BY,1619050650.0
71,71,nome,69.14764319147022,-165.51669501167206,42.01,48.0,1.0,4.61,US,1619050651.0
72,72,terrace bay,48.402866573094464,-87.27402021458269,32.0,59.0,78.0,6.91,CA,1619050652.0
73,73,oriximina,0.5019357431783646,-55.2640314359405,76.78,87.0,49.0,2.44,BR,1619050653.0
74,74,ilheus,-14.963565746353154,-38.61434633244062,78.8,94.0,20.0,4.61,BR,1619050655.0
75,75,severo-kurilsk,31.669442180492553,164.58738155135143,37.02,86.0,100.0,7.85,RU,1619050656.0
79,79,chuy,-57.842199707673295,-30.242736903656866,66.22,74.0,0.0,13.6,UY,1619050660.0
80,80,ekhabi,54.08202711645968,145.64713023773132,33.17,90.0,59.0,10.74,RU,1619050661.0
81,81,mar del plata,-55.564012696893975,-37.89041431764673,69.01,83.0,40.0,16.11,AR,1619050662.0
82,82,provideniya,52.44048970415341,-176.17673422992382,33.8,60.0,0.0,6.71,RU,1619050664.0
83,83,beloha,-29.718392484961377,42.944732436452796,68.67,88.0,12.0,11.16,MG,1619050665.0
84,84,cockburn town,24.96459611193201,-65.95605809932263,78.26,78.0,20.0,19.35,TC,1619050427.0
85,85,kapaa,35.812119362257064,-172.7509948930071,80.01,78.0,90.0,10.36,US,1619050667.0
88,88,sobolevo,56.488295487285775,156.16923647754817,38.57,94.0,48.0,7.43,RU,1619050670.0
90,90,port moresby,-12.30386208037167,146.12478199977522,83.26,69.0,60.0,2.42,PG,1619050672.0
91,91,hermanus,-81.81122422413155,0.6747897742815212,66.99,85.0,47.0,7.0,ZA,1619050391.0
92,92,santiago,-29.31827692662333,-54.79157046114968,66.0,67.0,0.0,9.22,CL,1619050675.0
93,93,dargaville,-37.071740689426925,172.83069185003933,67.91,53.0,86.0,7.0,NZ,1619050676.0
94,94,yellowknife,76.94789628101381,-108.2784827026913,21.2,63.0,90.0,19.57,CA,1619050677.0
95,95,kalmunai,8.27142571832887,86.080125085173,78.19,82.0,50.0,6.04,LK,1619050678.0
96,96,dikson,87.48400070357107,89.23877825719995,25.9,97.0,100.0,11.68,RU,1619050679.0
97,97,barrow,85.01884692931934,-156.13334003591268,23.0,86.0,1.0,8.05,US,1619050569.0
98,98,derby,37.48603943359674,-97.05939858778345,36.0,75.0,0.0,4.61,GB,1619050486.0
100,100,pangnirtung,64.49569944404314,-61.490875903269746,27.3,97.0,100.0,3.98,CA,1619050684.0
101,101,sept-iles,52.435468552542886,-66.31287896757274,39.0,81.0,75.0,6.91,CA,1619050685.0
102,102,igis,46.928013244689,9.551178762282944,41.0,81.0,69.0,5.66,CH,1619050686.0
103,103,cruzeiro do sul,-7.271308099457443,-72.54447942310988,66.99,84.0,75.0,1.99,BR,1619050597.0
105,105,namatanai,1.9364627873092248,155.05640468444176,81.18,77.0,98.0,4.52,PG,1619050689.0
106,106,bluff,-86.74218945333608,154.3113395640815,55.0,89.0,94.0,1.01,NZ,1619050690.0
107,107,zelenogorskiy,54.63221553773451,87.29590858824946,26.6,54.0,0.0,13.42,RU,1619050692.0
108,108,kholmogory,64.04625707533134,41.26249168353374,39.2,81.0,90.0,6.71,RU,1619050693.0
109,109,rumford,45.017067748804976,-70.69986193875354,37.99,95.0,100.0,1.01,US,1619050694.0
110,110,cape town,-36.91557502364197,15.332640251135473,66.0,88.0,0.0,4.61,ZA,1619050695.0
111,111,norman wells,77.92794188424753,-120.90673048038298,33.8,44.0,75.0,19.57,CA,1619050696.0
112,112,airai,13.365310380992938,137.5488116657683,66.99,72.0,43.0,1.23,TL,1619050698.0
113,113,victoria,-2.187674080956569,56.78578217491531,75.0,80.0,0.0,1.01,HK,1619050503.0
114,114,goderich,3.2724195682638992,-21.14737892021745,30.2,64.0,29.0,13.8,CA,1619050700.0
115,115,moville,55.487609881783676,-6.798428962155497,46.99,31.0,1.0,5.75,US,1619050701.0
116,116,port hardy,42.18773044337488,-138.59657374837974,55.4,54.0,75.0,16.11,CA,1619050702.0
117,117,tiksi,71.0184139860029,129.15845604746895,10.17,84.0,100.0,9.55,RU,1619050703.0
118,118,aguilares,13.949152603787267,-89.16983578758811,73.0,88.0,7.0,5.64,AR,1619050705.0
119,119,ahipara,-30.062251561298677,169.70572865194873,67.17,62.0,76.0,3.8,NZ,1619050706.0
120,120,vaitape,-19.445095287924058,-155.4144938006706,81.34,74.0,37.0,15.08,PF,1619050645.0
121,121,ust-nera,63.96619853855947,141.02815795184216,23.0,68.0,60.0,7.38,RU,1619050708.0
122,122,lebu,-30.73493595397741,-96.11706448558832,53.47,83.0,18.0,15.41,CL,1619050709.0
123,123,ponta do sol,35.362837869238845,-20.46352833809232,63.0,74.0,92.0,1.01,PT,1619050710.0
124,124,ancud,-42.057490830687925,-91.14613568955164,48.99,100.0,75.0,4.38,CL,1619050442.0
125,125,micheweni,-6.025003402961914,43.8777234676607,78.06,85.0,94.0,12.12,TZ,1619050713.0
127,127,oga,40.65353724274797,138.65517401034344,48.99,93.0,0.0,3.44,IT,1619050715.0
128,128,new philadelphia,40.3878746899471,-81.21169927006069,37.4,60.0,20.0,8.05,US,1619050716.0
129,129,shambu,9.538661973707391,36.754110792444465,59.61,49.0,98.0,3.67,ET,1619050717.0
130,130,lompoc,22.38185545284801,-133.9722090854687,55.4,76.0,24.0,10.36,US,1619050718.0
131,131,golub-dobrzyn,52.9982452169765,18.99460508551155,43.0,91.0,77.0,8.63,PL,1619050720.0
132,132,marsh harbour,28.89433275432825,-72.76752036982155,78.26,81.0,100.0,11.88,BS,1619050721.0
133,133,mazagao,0.6227585687364581,-51.92886150488207,78.8,94.0,40.0,4.61,BR,1619050722.0
134,134,port elizabeth,-60.159961348784634,29.199070667063356,66.2,88.0,90.0,4.61,ZA,1619050723.0
135,135,hithadhoo,-6.672801576324176,79.28512836701537,82.31,67.0,19.0,5.1,MV,1619050724.0
136,136,arraial do cabo,-57.03742116274544,-17.037832862152072,71.6,94.0,75.0,10.36,BR,1619050726.0
137,137,teahupoo,-20.406050944283923,-149.29918976696985,84.2,61.0,40.0,6.91,PF,1619050727.0
138,138,venezuela,21.44481409808293,-78.78550863891833,90.81,31.0,0.0,9.06,VE,1619050728.0
139,139,ushuaia,-78.33544367404748,-66.82771347883428,44.6,57.0,0.0,4.61,AR,1619050729.0
140,140,ilulissat,83.27122819556523,-44.586641352375466,30.2,47.0,21.0,16.11,GL,1619050730.0
141,141,marawi,20.1610496012148,30.436692237840877,82.0,78.0,93.0,4.0,PH,1619050732.0
142,142,ostrovnoy,69.94489603794347,41.1934690236358,35.82,90.0,100.0,8.43,RU,1619050733.0
143,143,bangassou,4.676888015848932,22.65003199806182,70.21,81.0,98.0,3.83,CF,1619050734.0
146,146,margate,-35.912185700382146,36.96041223308862,43.0,70.0,35.0,4.0,GB,1619050737.0
147,147,san patricio,7.987674894932653,-109.83684523422654,69.8,63.0,1.0,16.11,US,1619050738.0
148,148,boa vista,2.3314239938041226,-60.92208098930334,86.0,54.0,0.0,8.05,BR,1619050740.0
149,149,oranjestad,14.124878205653074,-70.54518614539619,80.6,74.0,20.0,19.57,AW,1619050686.0
150,150,yulara,-26.078095337733888,131.29577195407728,68.0,34.0,0.0,14.97,AU,1619050742.0
151,151,sungaipenuh,-2.5302069513625014,101.45088473243207,65.55,95.0,91.0,0.83,ID,1619050743.0
152,152,aktash,49.204664837072706,87.05005718175494,10.18,88.0,99.0,3.36,RU,1619050744.0
153,153,cherskiy,76.575636149502,164.38823762915956,33.31,73.0,100.0,22.01,RU,1619050745.0
154,154,gisborne,-40.524217487585375,179.38624964283898,63.0,67.0,46.0,1.99,NZ,1619050747.0
155,155,sira,58.449342182514236,6.646878844757509,77.56,64.0,90.0,5.82,IN,1619050748.0
157,157,souillac,-43.1799671789946,69.39791822074147,78.8,83.0,40.0,3.44,MU,1619050750.0
158,158,hualmay,-17.979162662643915,-89.70754649312521,68.45,85.0,9.0,8.32,PE,1619050751.0
159,159,longyearbyen,82.18028185359742,24.03627866423008,19.4,68.0,75.0,13.8,SJ,1619050506.0
160,160,mayumba,-6.318000312317437,6.512750479420277,75.24,82.0,100.0,6.98,GA,1619050753.0
161,161,senanga,-16.84226388649806,22.264633079202557,61.41,63.0,0.0,6.53,ZM,1619050755.0
162,162,komsomolskiy,71.61450390890758,172.63558461704326,42.8,81.0,0.0,6.91,UZ,1619050756.0
163,163,torbay,31.165144318391015,-47.213316573452396,41.0,87.0,20.0,6.91,CA,1619050757.0
164,164,irpa irpa,-17.931196323464633,-66.59811891820588,66.2,37.0,20.0,9.22,BO,1619050758.0
165,165,linxia,35.381832458400176,103.77354356627188,54.95,51.0,53.0,0.2,CN,1619050759.0
166,166,general roca,-37.854501973827325,-65.92391845831106,62.6,77.0,0.0,4.61,AR,1619050761.0
167,167,kindu,-1.540584761636964,25.616356253106,67.62,98.0,94.0,2.75,CD,1619050762.0
168,168,kostino,58.95555466442238,53.224656401110344,39.78,78.0,100.0,11.77,RU,1619050763.0
169,169,sao filipe,8.777282861142552,-32.862159469528564,72.54,72.0,97.0,11.99,CV,1619050764.0
170,170,san jeronimo,13.587572668810992,-102.4218590085915,51.03,80.0,78.0,3.2,PE,1619050765.0
171,171,mapiri,-15.039882173236649,-68.56482681418291,71.15,95.0,38.0,0.92,BO,1619050767.0
172,172,ouadda,7.971939165797097,21.894636855784825,72.41,74.0,96.0,6.11,CF,1619050768.0
173,173,port blair,14.271831837310314,89.44788450724606,80.8,75.0,75.0,4.29,IN,1619050519.0
174,174,anadyr,65.40893978636183,176.84872422964156,14.0,85.0,0.0,6.71,RU,1619050770.0
176,176,ilo,-17.88847556674243,-71.92845984067633,67.98,86.0,2.0,7.29,PE,1619050772.0
177,177,ambilobe,-9.851321721803671,50.95422791133584,72.64,81.0,99.0,3.87,MG,1619050774.0
178,178,hervey bay,-22.574383278976683,154.85458016096374,69.01,95.0,54.0,4.0,AU,1619050775.0
179,179,kavieng,3.232858493345788,151.78084275043707,83.1,73.0,100.0,8.86,PG,1619050776.0
180,180,pisco,-17.180633658819698,-83.85776416044912,66.0,94.0,0.0,19.57,PE,1619050777.0
181,181,pasighat,29.55464350264813,95.92192849760643,74.12,54.0,85.0,3.29,IN,1619050778.0
182,182,fortuna,40.58646065156822,-124.46975597373924,57.0,87.0,90.0,13.8,US,1619050780.0
183,183,semirom,31.031611982544717,51.27935759287684,56.57,40.0,95.0,3.42,IR,1619050781.0
184,184,constitucion,21.66428372639952,-118.50125250028256,56.53,94.0,100.0,4.54,CL,1619050782.0
185,185,koshurnikovo,53.55500741120835,93.991818004146,18.54,84.0,96.0,1.97,RU,1619050783.0
186,186,glenwood springs,39.6090527865594,-107.71248283037693,59.0,35.0,100.0,13.8,US,1619050784.0
187,187,zeya,55.52320469811543,127.3327720583044,44.44,72.0,59.0,5.82,RU,1619050786.0
188,188,mareeba,-16.574563770938653,143.38953766386106,81.0,83.0,90.0,10.36,AU,1619050787.0
189,189,peniche,40.20666851304839,-15.187948179408751,60.01,88.0,21.0,8.01,PT,1619050788.0
190,190,pacifica,34.3414419981505,-131.2125580031563,57.2,62.0,40.0,18.41,US,1619050652.0
191,191,mao,14.805161657759685,13.966209038053393,57.2,72.0,20.0,10.36,ES,1619050790.0
192,192,shelburne,41.76040406302081,-65.21350138571471,32.0,68.0,90.0,12.1,CA,1619050505.0
193,193,arvika,59.654656274237006,12.789068960370429,37.4,87.0,20.0,19.57,SE,1619050792.0
194,194,fare,-12.72039602935277,-149.34001045494225,80.94,73.0,61.0,15.43,PF,1619050794.0
195,195,saskylakh,78.18876931669217,114.90027042736324,5.32,92.0,94.0,7.92,RU,1619050795.0
196,196,solnechnyy,62.275891776404286,138.64598003427665,50.14,50.0,1.0,8.81,RU,1619050796.0
197,197,the pas,54.49533171590671,-100.93534703532156,60.8,23.0,1.0,12.66,CA,1619050797.0
198,198,vaini,-56.469594664982864,-178.60855275461137,86.0,70.0,40.0,5.75,TO,1619050798.0
199,199,kloulklubed,6.491657921769928,134.82046515689433,84.2,79.0,75.0,5.75,PW,1619050800.0
200,200,cabo san lucas,14.7128275560531,-118.7385793931464,80.6,28.0,40.0,4.61,MX,1619050738.0
201,201,adelaide,-34.45599121319039,137.58519558419493,64.0,67.0,75.0,17.27,AU,1619050521.0
202,202,pangody,64.55150487183698,74.80421699026869,29.91,96.0,98.0,12.46,RU,1619050803.0
203,203,viedma,-41.65375901597341,-61.03195623681344,64.04,86.0,100.0,5.17,AR,1619050804.0
204,204,pacific grove,35.198793327785005,-124.84056377147662,53.01,90.0,60.0,9.98,US,1619050805.0
206,206,nicolas bravo,18.02249934506111,-89.02369081660602,84.2,74.0,20.0,13.8,MX,1619050807.0
207,207,ayacucho,-13.675663661604318,-74.60865707954818,53.76,85.0,63.0,6.31,PE,1619050809.0
208,208,sangueya,10.476634626905449,-14.58196142332551,76.57,74.0,99.0,3.0,GN,1619050810.0
209,209,ugoofaaru,5.915507085574633,71.21900929908048,82.67,73.0,16.0,10.71,MV,1619050811.0
210,210,bomet,-1.0610848675681126,35.418777855634225,54.91,98.0,100.0,3.67,KE,1619050812.0
211,211,tonantins,-1.7977570171941581,-67.69764311025011,73.36,97.0,54.0,2.59,BR,1619050813.0
212,212,rawson,-47.18278650446844,-59.57328346604827,58.89,72.0,100.0,9.37,AR,1619050815.0
213,213,nizhniy kuranakh,60.1197208159975,122.39384642392109,27.27,68.0,100.0,10.6,RU,1619050816.0
215,215,chincha alta,-13.383497692781274,-75.91191958585901,66.0,94.0,0.0,19.57,PE,1619050818.0
216,216,tabuk,17.402247117708185,121.36567207837173,79.97,70.0,99.0,2.35,PH,1619050819.0
218,218,burnie,-43.255690330713826,144.426381595333,54.0,78.0,61.0,7.0,AU,1619050821.0
219,219,pevek,83.03855771464634,171.3476272164445,28.35,70.0,9.0,16.67,RU,1619050823.0
221,221,osakarovka,50.20302629461443,71.83448230674281,29.86,69.0,3.0,7.63,KZ,1619050825.0
222,222,teguldet,57.85701120804814,88.48646043702196,18.68,92.0,59.0,3.69,RU,1619050826.0
223,223,saint george,31.591376950846186,-52.54029523519165,75.2,8.0,1.0,23.02,US,1619050827.0
224,224,godda,24.78911165427576,87.29238872771509,83.25,50.0,98.0,4.59,IN,1619050828.0
225,225,east london,-45.691890325475995,37.54024672905507,70.27,87.0,90.0,8.48,ZA,1619050560.0
226,226,qui nhon,13.727175306121467,112.226334087758,77.94,85.0,100.0,3.42,VN,1619050831.0
228,228,lorengau,-3.733995666573009,147.27958248195813,83.8,75.0,100.0,4.52,PG,1619050833.0
229,229,nabire,-5.847326752619934,136.936159430001,83.05,72.0,99.0,0.96,ID,1619050834.0
230,230,san cristobal,-2.122702844320713,-86.25273217652041,82.4,65.0,40.0,5.75,VE,1619050835.0
231,231,lasa,31.959949351202553,89.47377482145703,41.0,87.0,40.0,2.3,IT,1619050837.0
232,232,kahului,37.613902694146375,-144.8969011537144,84.2,58.0,40.0,21.85,US,1619050838.0
233,233,santiago de cao,-9.692351634670588,-81.30298909241993,64.4,94.0,40.0,9.22,PE,1619050839.0
234,234,kupang,-12.042026992687298,122.54322782489344,78.85,77.0,40.0,2.84,ID,1619050840.0
235,235,bandipur,34.73066250766166,74.77872428441685,61.72,49.0,90.0,4.7,NP,1619050842.0
236,236,vicuna,-30.373121075955734,-70.64959428126723,59.0,88.0,0.0,4.61,CL,1619050843.0
238,238,grand gaube,-12.201639214170143,67.27083381337144,77.0,85.0,100.0,1.99,MU,1619050845.0
239,239,danville,37.63757392263165,-84.5798398958249,46.99,39.0,1.0,20.71,US,1619050658.0
241,241,vao,-24.742870372027067,171.80421066716946,75.22,73.0,81.0,5.44,NC,1619050848.0
242,242,huarmey,-12.641112212769894,-82.69233341850753,70.16,82.0,9.0,9.4,PE,1619050849.0
243,243,nyurba,63.31463091829642,119.0275333865976,17.53,89.0,97.0,2.26,RU,1619050851.0
244,244,ponta delgada,34.687910682734945,-26.787372268019997,64.4,94.0,75.0,19.57,PT,1619050852.0
245,245,honiara,-10.163910432592402,157.80501592907459,85.77,69.0,54.0,3.94,SB,1619050853.0
246,246,mersin,36.40361634702515,34.891447942542385,57.2,94.0,40.0,5.26,TR,1619050854.0
247,247,chokurdakh,89.70485101282787,151.15620191047225,15.75,92.0,100.0,12.24,RU,1619050855.0
248,248,skjervoy,74.11962162907163,20.07517041760198,36.39,59.0,100.0,15.03,NO,1619050857.0
249,249,avera,-36.11350554756696,-156.8795937364091,60.8,35.0,1.0,11.5,US,1619050858.0
250,250,ulladulla,-38.809360692941674,155.2329591305649,59.0,38.0,0.0,19.57,AU,1619050859.0
251,251,lavrentiya,74.72031128870597,-167.54813699158672,32.68,73.0,97.0,1.92,RU,1619050860.0
252,252,bom jardim,-7.1381044464482235,-46.34724944792447,75.2,83.0,0.0,8.05,BR,1619050861.0
253,253,coxim,-17.485145937034403,-55.447015107863294,75.11,40.0,0.0,2.26,BR,1619050863.0
254,254,alice springs,-20.796557438140308,133.3343543304043,73.99,26.0,0.0,6.91,AU,1619050864.0
255,255,xining,36.723720650065964,102.26866015304444,48.61,53.0,49.0,0.51,CN,1619050865.0
256,256,alghero,40.08856687099589,6.4670278005028194,55.4,88.0,0.0,8.05,IT,1619050866.0
257,257,asfi,32.310506651550654,-10.724853481003066,60.96,80.0,98.0,11.32,MA,1619050867.0
258,258,sorumsand,60.020858999012795,11.30880169435764,37.99,48.0,0.0,17.27,NO,1619050869.0
259,259,dwarka,20.957601363498878,68.21160714392792,80.08,74.0,36.0,9.1,IN,1619050870.0
260,260,tasiilaq,76.48074831287474,-34.99420740258782,26.6,50.0,75.0,13.8,GL,1619050871.0
261,261,maumere,-9.71018740483811,122.42650221769514,80.11,74.0,33.0,3.76,ID,1619050872.0
262,262,camacha,36.217356296247935,-18.414009104418625,66.2,88.0,75.0,8.05,PT,1619050873.0
263,263,cayenne,7.381707141132964,-48.99730598111808,79.0,94.0,75.0,4.61,GF,1619050875.0
264,264,valparaiso,-31.96633669237812,-73.11222825494822,59.0,94.0,0.0,3.44,CL,1619050714.0
265,265,thompson,57.57330409608332,-99.23008085609942,55.4,26.0,20.0,10.36,CA,1619050877.0
267,267,kamir,30.41081973518223,73.20196966864069,66.02,66.0,3.0,6.55,PK,1619050879.0
268,268,poum,-17.757620396884736,160.2019688707722,78.33,79.0,26.0,8.63,NC,1619050880.0
269,269,svetlyy,48.649259411646824,62.22902286799211,42.8,70.0,0.0,11.18,RU,1619050882.0
270,270,leningradskiy,85.6015008826524,175.90123737847253,35.96,73.0,15.0,5.82,RU,1619050883.0
271,271,kenora,50.60864101202526,-93.74748756156113,41.0,45.0,20.0,9.22,CA,1619050625.0
272,272,hasaki,29.4978701572919,148.172966617133,68.0,34.0,0.0,6.91,JP,1619050885.0
273,273,qaanaaq,85.3208224599569,-92.6323403239777,8.15,76.0,83.0,8.25,GL,1619050886.0
274,274,newport,44.84055919701459,-126.52274657697784,45.0,68.0,28.0,12.66,GB,1619050724.0
275,275,saint-pierre,42.388705382854994,-55.56711880219868,77.0,78.0,90.0,13.8,RE,1619050888.0
276,276,tual,-7.026896075187281,129.53016218119956,83.07,70.0,39.0,2.53,ID,1619050890.0
277,277,hazorasp,39.86949564875454,60.37130342722284,42.8,36.0,0.0,6.91,UZ,1619050891.0
278,278,okha,54.590049477129575,142.8795627452156,33.39,88.0,61.0,10.67,RU,1619050892.0
279,279,tongchuan,35.502430281943845,109.50252557290777,53.85,83.0,99.0,3.22,CN,1619050893.0
280,280,san roque,3.991126285589417,123.2632199101537,62.6,72.0,75.0,12.66,ES,1619050894.0
281,281,amapa,2.3961545897773675,-51.513019893460275,72.05,98.0,80.0,1.95,BR,1619050896.0
282,282,saint-leu,-21.50750900384314,54.66841204488173,77.0,78.0,90.0,13.8,RE,1619050897.0
283,283,atar,24.002702762649307,-11.187538423756251,79.72,14.0,12.0,8.21,MR,1619050898.0
284,284,carnarvon,-25.0853482233951,99.53271958646464,68.0,45.0,32.0,12.66,AU,1619050899.0
285,285,cap malheureux,-12.79823473554643,57.392865021850525,77.0,85.0,100.0,1.99,MU,1619050900.0
286,286,fairbanks,74.96623669146669,-145.02627862082278,48.99,31.0,1.0,4.61,US,1619050852.0
287,287,talnakh,69.45089744362403,91.07939842861731,14.72,95.0,100.0,11.32,RU,1619050903.0
288,288,iqaluit,64.2576290887666,-73.78257996783482,17.6,79.0,75.0,19.57,CA,1619050904.0
289,289,superior,46.739890495031204,-91.42680305609885,41.0,33.0,90.0,6.91,US,1619050748.0
290,290,ca mau,8.708530231656738,103.87588789255257,81.23,82.0,100.0,3.76,VN,1619050906.0
291,291,altagracia de orituco,9.66460152888888,-66.58805392246107,74.41,75.0,10.0,7.47,VE,1619050907.0
292,292,shubarshi,48.48184895640793,57.646668214263535,43.45,33.0,100.0,14.92,KZ,1619050908.0
